Category_norm,Model,accuracy,n,percent_correct
Commonsense,claude-sonnet-4-6,0.6,10,60.0
Commonsense,gemini-3-flash-preview,0.5,10,50.0
Commonsense,gpt-5.4,0.6,10,60.0
Commonsense,qwen-vl-plus,0.7,10,70.0
Logic,claude-sonnet-4-6,0.8,20,80.0
Logic,gemini-3-flash-preview,0.8947368421052632,19,89.47368421052632
Logic,gpt-5.4,0.75,20,75.0
Logic,qwen-vl-plus,0.45,20,45.0
Nonsense,claude-sonnet-4-6,1.0,15,100.0
Nonsense,gemini-3-flash-preview,1.0,15,100.0
Nonsense,gpt-5.4,1.0,15,100.0
Nonsense,qwen-vl-plus,0.9333333333333333,15,93.33333333333333
Spatial Counting,claude-sonnet-4-6,0.2,15,20.0
Spatial Counting,gemini-3-flash-preview,0.4666666666666667,15,46.666666666666664
Spatial Counting,gpt-5.4,0.0,15,0.0
Spatial Counting,qwen-vl-plus,0.6666666666666666,15,66.66666666666666
Spatial Relations,claude-sonnet-4-6,0.6,15,60.0
Spatial Relations,gemini-3-flash-preview,0.6666666666666666,15,66.66666666666666
Spatial Relations,gpt-5.4,0.7333333333333333,15,73.33333333333333
Spatial Relations,qwen-vl-plus,0.5333333333333333,15,53.333333333333336
Spatial Visualization,claude-sonnet-4-6,0.0,4,0.0
Spatial Visualization,gemini-3-flash-preview,0.25,4,25.0
Spatial Visualization,gpt-5.4,0.25,4,25.0
Spatial Visualization,qwen-vl-plus,0.5,4,50.0
Visual Text Understanding,claude-sonnet-4-6,0.5714285714285714,21,57.14285714285714
Visual Text Understanding,gemini-3-flash-preview,0.8571428571428571,21,85.71428571428571
Visual Text Understanding,gpt-5.4,0.5714285714285714,21,57.14285714285714
Visual Text Understanding,qwen-vl-plus,0.2857142857142857,21,28.57142857142857
